step,method,q,seed,ablation,approx_kl,mean_kl_window
331776,TEL-PPO,55.0,42,baseline,,
335872,TEL-PPO,55.0,42,baseline,,
339968,TEL-PPO,55.0,42,baseline,,
344064,TEL-PPO,55.0,42,baseline,,
348160,TEL-PPO,55.0,42,baseline,,
352256,TEL-PPO,55.0,42,baseline,,
356352,TEL-PPO,55.0,42,baseline,,
360448,TEL-PPO,55.0,42,baseline,,
364544,TEL-PPO,55.0,42,baseline,,
368640,TEL-PPO,55.0,42,baseline,,
372736,TEL-PPO,55.0,42,baseline,,
376832,TEL-PPO,55.0,42,baseline,,
380928,TEL-PPO,55.0,42,baseline,,
385024,TEL-PPO,55.0,42,baseline,,
389120,TEL-PPO,55.0,42,baseline,,
393216,TEL-PPO,55.0,42,baseline,,
397312,TEL-PPO,55.0,42,baseline,,
401408,TEL-PPO,55.0,42,baseline,,
405504,TEL-PPO,55.0,42,baseline,,
409600,TEL-PPO,55.0,42,baseline,,
413696,TEL-PPO,55.0,42,baseline,,
417792,TEL-PPO,55.0,42,baseline,,
421888,TEL-PPO,55.0,42,baseline,,
425984,TEL-PPO,55.0,42,baseline,,
430080,TEL-PPO,55.0,42,baseline,,
434176,TEL-PPO,55.0,42,baseline,,
438272,TEL-PPO,55.0,42,baseline,,
442368,TEL-PPO,55.0,42,baseline,,
446464,TEL-PPO,55.0,42,baseline,,
450560,TEL-PPO,55.0,42,baseline,,
454656,TEL-PPO,55.0,42,baseline,,
458752,TEL-PPO,55.0,42,baseline,,
462848,TEL-PPO,55.0,42,baseline,,
466944,TEL-PPO,55.0,42,baseline,,
471040,TEL-PPO,55.0,42,baseline,,
475136,TEL-PPO,55.0,42,baseline,,
479232,TEL-PPO,55.0,42,baseline,,
483328,TEL-PPO,55.0,42,baseline,,
487424,TEL-PPO,55.0,42,baseline,,
491520,TEL-PPO,55.0,42,baseline,,
495616,TEL-PPO,55.0,42,baseline,,
499712,TEL-PPO,55.0,42,baseline,,
503808,TEL-PPO,55.0,42,baseline,,
507904,TEL-PPO,55.0,42,baseline,,
512000,TEL-PPO,55.0,42,baseline,,
516096,TEL-PPO,55.0,42,baseline,,
520192,TEL-PPO,55.0,42,baseline,,
524288,TEL-PPO,55.0,42,baseline,,
528384,TEL-PPO,55.0,42,baseline,,
532480,TEL-PPO,55.0,42,baseline,,
536576,TEL-PPO,55.0,42,baseline,,
540672,TEL-PPO,55.0,42,baseline,,
544768,TEL-PPO,55.0,42,baseline,,
548864,TEL-PPO,55.0,42,baseline,,
552960,TEL-PPO,55.0,42,baseline,,
557056,TEL-PPO,55.0,42,baseline,,
